,MoviesN,AvgPop,AvgIMDB,Score
John Cleese,12,0.041020123864225884,0.6265432098765432,0.45083064715100674
Phil Davis,5,0.03498296726541873,0.7160493827160493,0.4507298113928268
Amanda Seyfried,7,0.052222498990241784,0.6331569664902997,0.45062317489402837
Nadim Sawalha,6,0.021012927847090537,0.6666666666666666,0.450539503935913
Josh Hamilton,5,0.02845552162863231,0.7185185185185184,0.4505273701997263
John Cusack,17,0.030904534293407122,0.6303558460421205,0.45052007789712306
Ludacris,6,0.03991022382497621,0.6584362139917694,0.4504517451114444
Michael Wincott,7,0.03916273068781392,0.6384479717813051,0.45041280123497474
Adam Sandler,14,0.03429772133719798,0.628747795414462,0.450405250657552
Ruth Sheen,5,0.022196206550018745,0.7209876543209875,0.4503957795902723
Titus Welliver,5,0.04515441223093708,0.711111111111111,0.45037277445423574
Roger Bart,6,0.03928677184726916,0.6584362139917694,0.45027357984446037
Anthony Rapp,5,0.02715386995004751,0.7185185185185184,0.45018342290121355
Kevin Hart,7,0.038237754765787835,0.6384479717813051,0.4501402995017099
Grant Heslov,7,0.02981532048517399,0.6419753086419753,0.4500837409264357
Charlie Tahan,6,0.03371306363593528,0.6604938271604938,0.45005278912196317
Robert Clohessy,5,0.08961958758175789,0.691358024691358,0.44994329085077467
Tyrese Gibson,8,0.037120593279355574,0.6311728395061728,0.449925590853425
Alec Guinness,5,0.020084393377266356,0.7209876543209875,0.4498377559287337
Josh Lucas,9,0.02430234606291487,0.6337448559670781,0.4497971672883548
Kimberly Elise,5,0.025396392771696384,0.7185185185185184,0.44971902867222213
Jason Patric,6,0.027576119165553605,0.6625514403292181,0.4496710411131689
Lee Garlington,9,0.027039854451918786,0.6323731138545953,0.44965854393924637
David Jensen,11,0.03249637532665867,0.6285072951739618,0.4495532109182542
Candice Bergen,8,0.0321565118513885,0.632716049382716,0.44951935056415315
Oliver Platt,15,0.02701166980778471,0.6304526748971193,0.4494176120530752
Anna Faris,9,0.03560572353514804,0.6282578875171467,0.4493484149608813
Lucas Black,6,0.04062318621927094,0.6563786008230452,0.4492834696232301
Eugene Lipinski,6,0.03577182468514513,0.6584362139917694,0.44926910552732424
Mary Elizabeth Winstead,7,0.03933772056790196,0.6366843033509699,0.44925199127383325
Keanu Reeves,16,0.033610041047180704,0.6273148148148148,0.44920236733920393
Kieran Culkin,8,0.02388851851703061,0.6358024691358024,0.4492015874619472
Melissa McCarthy,11,0.03645725426198264,0.6262626262626262,0.4491703348015448
Joe Mantegna,8,0.0345330168060079,0.6311728395061728,0.4491545133904981
Rufus Sewell,7,0.03888976805861123,0.6366843033509699,0.44912002261141154
Fred Ward,9,0.034787053253139286,0.6282578875171467,0.44910342115520774
Richard Schiff,9,0.028120705221190593,0.6310013717421125,0.44902415219121616
Paul Reubens,7,0.03027423942149162,0.6402116402116401,0.44900657763987717
James Remar,15,0.031392440362847274,0.6279835390946502,0.44900345070256076
Dean Norris,14,0.02954219249671384,0.628747795414462,0.4489786158326347
Daniel Radcliffe,5,0.05684032101753134,0.7037037037037036,0.4488935527881748
Gerard Butler,10,0.03423210673410224,0.6271604938271604,0.44887265881683736
Domenick Lombardozzi,8,0.033580134955155584,0.6311728395061728,0.4488705620840953
Gina Gershon,7,0.02522572083211074,0.6419753086419753,0.4487316258814173
Sam Worthington,9,0.03978749089623795,0.625514403292181,0.44868415275312556
Christopher McDonald,6,0.033601263951856634,0.6584362139917695,0.44864881952875607
Mary Elizabeth Mastrantonio,5,0.04418750199693061,0.7086419753086419,0.44859491362163995
Mike Starr,13,0.02541994009063291,0.6296296296296295,0.4483463678743198
Maria Bello,9,0.03195485531824271,0.6282578875171467,0.44825586266219813
Edward Herrmann,9,0.02533347649460936,0.6310013717421125,0.4481900511031294
Matthew Gray Gubler,6,0.03665955034689135,0.6563786008230452,0.4481507725291779
Luke Wilson,9,0.028064623483968053,0.6296296296296295,0.4480495240529306
Kate Hudson,7,0.026910220916974106,0.6402116402116401,0.44801552387146354
Pip Torrens,8,0.037870548860377766,0.6280864197530864,0.4480030377614082
Will Ferrell,10,0.025448978059945733,0.6296296296296295,0.4479669411838942
Angela Bassett,13,0.0307587170267997,0.6267806267806267,0.4479537167871997
Casey Wilson,5,0.12737874670396354,0.671604938271605,0.44774181539760266
Frank Welker,20,0.04198112021295655,0.6216049382716049,0.44771777431877335
Martin Starr,5,0.035006939135880426,0.711111111111111,0.44769141505894017
Craig T. Nelson,6,0.03985053551531709,0.6543209876543209,0.4476906471550577
Clark Duke,6,0.03954828026035712,0.6543209876543209,0.4476042709943864
Queen Latifah,9,0.03608180811620942,0.625514403292181,0.4475751967462329
Danny DeVito,16,0.026370531381033943,0.6280864197530863,0.4475706415843877
Colin Salmon,8,0.03629446669700412,0.6280864197530863,0.4475333776572852
Dennis Hopper,16,0.023838655520830733,0.628858024691358,0.4473512027791208
Isaiah Washington,7,0.03280348610058364,0.6366843033509699,0.44732697876755895
Parker Posey,9,0.031838510865519316,0.6268861454046638,0.4472632004113581
Colin Hanks,7,0.027931305628725384,0.6384479717813051,0.447103976948034
