,MoviesN,AvgPop,AvgIMDB,Score
Ann Russo,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Angela Russo-Otstot,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Wendy Hoopes,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Anne Grimenstein,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Christopher Markus,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Griffin M. Allen,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Michael Debeljak,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Derek Hughes,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Bernie Zilinskas,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Stephen McFeely,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
June Christopher,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Dante Rosalina,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Natalie Ann Jamieson,1,0.06467181760869725,0.8148148148148147,0.07030253567241698
Bryn Jones,1,0.06467181760869725,0.8148148148148147,0.07030253567241698
James Hepworth,1,0.06467181760869725,0.8148148148148147,0.07030253567241698
Rob Kirtley,1,0.06467181760869725,0.8148148148148147,0.07030253567241698
Julie Nicholson,1,0.06467181760869725,0.8148148148148147,0.07030253567241698
Jane Birch,1,0.06467181760869725,0.8148148148148147,0.07030253567241698
Colin Coombs,1,0.06467181760869725,0.8148148148148147,0.07030253567241698
Kema Sikazwe,1,0.06467181760869725,0.8148148148148147,0.07030253567241698
Micky McGregor,1,0.06467181760869725,0.8148148148148147,0.07030253567241698
Mick Laffey,1,0.06467181760869725,0.8148148148148147,0.07030253567241698
Sharon Percy,1,0.06467181760869725,0.8148148148148147,0.07030253567241698
