name,MoviesN,AvgPop,AvgIMDB,Score
Sidney Kimmel Entertainment,9,0.028777824343718294,0.7037037037037036,0.49998659703001586
Why Not Productions,6,0.04926614327409784,0.728395061728395,0.4997740989587585
Revolution Sun Studios,8,0.06546424484468845,0.6898148148148145,0.4991464216896488
PolyGram Filmed Entertainment,14,0.02918825157417463,0.6992945326278658,0.4982543266170779
Legendary Pictures,19,0.07514536992501535,0.679012345679012,0.497852196926929
Sony Pictures Classics,6,0.027905293167005737,0.7325102880658434,0.4964138017116243
Chernin Entertainment,8,0.10303744816953325,0.669753086419753,0.4963937203661809
Media Rights Capital,5,0.21166709612496562,0.71358024691358,0.49589430540023194
Mirage Enterprises,7,0.02267634209857783,0.710758377425044,0.49526271380597936
Dentsu,9,0.046733861195823984,0.6872427983539094,0.49386594591805805
DreamWorks SKG,27,0.038259255208376496,0.687700045724737,0.49286780855122236
Miramax Films,40,0.031848756254348375,0.6895061728395063,0.49220894786395886
Eon Productions,14,0.04533275828230039,0.68342151675485,0.4919866721988933
GK Films,6,0.04889366023259482,0.7160493827160492,0.4914355315627031
Amblin Entertainment,23,0.037137425659817015,0.6849168008588299,0.49058298728795907
Fox Searchlight Pictures,29,0.029050258051950453,0.6866751809280545,0.489387704062723
Imagine Entertainment,16,0.03575331025038783,0.6836419753086419,0.48927426987014533
Annapurna Pictures,7,0.03463855262753717,0.6966490299823631,0.48908792888560765
Scott Rudin Productions,14,0.030568838501387356,0.685185185185185,0.4887921175203503
Lucasfilm,8,0.0403837589240823,0.6851851851851849,0.48845358295340074
DreamWorks Animation,6,0.05126184036396453,0.7098765432098764,0.487996230657117
Castle Rock Entertainment,21,0.0351785919252451,0.681951793062904,0.48791982529059724
Participant Media,19,0.03025062614569985,0.6835607537361921,0.48756766059053247
American Zoetrope,12,0.038638177429619905,0.6800411522633742,0.4875600901180459
TF1 Films Production,11,0.034157831090076404,0.68013468013468,0.48617853069376266
Scott Free Productions,11,0.04940488064054536,0.6734006734006733,0.4860388876901076
Twentieth Century Fox Animation,9,0.045959032584737554,0.6762688614540464,0.4859713103499265
Studio Babelsberg,13,0.045247939962537995,0.6742640075973407,0.48553714395466724
Plan B Entertainment,8,0.04683683388669735,0.6774691358024689,0.4850114636914357
BBC Films,30,0.029735039535448968,0.6798353909465019,0.48480528552227475
The Weinstein Company,14,0.03272637671655081,0.6781305114638447,0.48450117904593165
Apatow Productions,7,0.039620177056428195,0.6878306878306877,0.48449372253264333
Walt Disney Pictures,62,0.07036213376201615,0.6604938271604937,0.4834543191409504
Miramax,9,0.03486440386552248,0.6762688614540465,0.48265115158492766
Stillking Films,7,0.048585137405899134,0.6807760141093473,0.48228538612473837
Brandywine Productions,5,0.06577226849778803,0.7530864197530862,0.4817010291597888
Icon Entertainment International,10,0.037119741679179606,0.6728395061728395,0.48168433756422663
Anonymous Content,8,0.041684101914691025,0.6743827160493826,0.4813299560758639
BIM Distribuzione,5,0.023042068933811482,0.7703703703703701,0.4810665959243125
Warner Bros. Pictures,6,0.03605481645692186,0.7057613168724279,0.4809064447066212
Wildwood Enterprises,10,0.02472622790614944,0.6753086419753085,0.4796964911753182
France 3 Cinéma,5,0.032416920219268744,0.7629629629629628,0.47897670245003965
Blue Sky Studios,8,0.04720540618176124,0.6682098765432097,0.4786831934479698
Killer Films,10,0.024219990809088782,0.6728395061728395,0.4778179380032307
Warner Bros.,202,0.04231505490944183,0.6611661166116611,0.4755107981009953
Fine Line Features,7,0.025077364982199372,0.6807760141093474,0.4753598991167946
Forward Pass,6,0.03669754004072303,0.6954732510288064,0.4742300155272339
Universal Studios,8,0.03142787543021344,0.6651234567901233,0.47183557925683506
Fox 2000 Pictures,25,0.04249202319126338,0.6558024691358023,0.4718093352208309
New Regency Pictures,18,0.06261197079706468,0.6454046639231823,0.4705667120378978
The Mirisch Corporation,5,0.022458638305992092,0.7530864197530862,0.4702558734869243
Twentieth Century Fox Film Corporation,138,0.04417439372767862,0.6515476829486492,0.469335696182358
Pathé,6,0.03789140138800449,0.6872427983539093,0.46908310656726354
2929 Productions,9,0.030438638959801322,0.6570644718792865,0.467916872038377
Toho Company,5,0.025125298975629692,0.7456790123456788,0.4663934136047716
Tribeca Productions,9,0.028380858848783146,0.6556927297668037,0.4663432192216782
Studio Canal,7,0.02644688079629889,0.6666666666666665,0.4660644625113267
Columbia Pictures,91,0.03655596978620622,0.64997964997965,0.46595254592161683
TriStar Pictures,53,0.04354856509743094,0.6468669927789423,0.4658714644744889
Orion Pictures,24,0.024985219406286747,0.654320987654321,0.4655202568269271
Double Feature Films,8,0.03252846704873544,0.6543209876543209,0.4646524280395186
Saturn Films,9,0.035366383899706116,0.6502057613168724,0.4646023140943768
StudioCanal,28,0.032139986431549326,0.6499118165784832,0.4645802675279509
Regency Enterprises,31,0.05526794433052096,0.6383910792512942,0.46345413877474173
Paramount Pictures,160,0.03523099625182435,0.6460648148148143,0.46281466924591724
LStar Capital,8,0.05819377949038756,0.640432098765432,0.462643336700749
EuropaCorp,12,0.03235507249176945,0.6471193415637858,0.46263296739831017
Silver Screen Partners IV,7,0.033606205582719303,0.657848324514991,0.4621118156928617
Touchstone Pictures,63,0.02835785564925994,0.6478542034097587,0.4620052990816091
UTV Motion Pictures,7,0.01944499741851074,0.6631393298059963,0.46157695329385817
Universal Pictures,188,0.033976998441514084,0.6445363803519836,0.4613685657788427
Walt Disney Productions,5,0.03979928574966017,0.7308641975308641,0.46113666308685664
Columbia Pictures Corporation,61,0.02831408483073817,0.6456182958915196,0.46042703257328516
Silver Pictures,15,0.04331276985949074,0.6386831275720162,0.46006919349543646
CJ Entertainment,5,0.03012112798853177,0.7283950617283949,0.45705694984403156
New Line Cinema,75,0.037070981701753034,0.6358847736625514,0.4562406360743118
Big Screen Productions,7,0.032900968491118246,0.6490299823633155,0.4558422364093496
Dune Entertainment,30,0.06840682533482714,0.6205761316872426,0.4549253397806628
Protozoa Pictures,5,0.04012845928694596,0.7185185185185184,0.4536118170139844
Village Roadshow Pictures,36,0.03902237709317713,0.6296296296296295,0.4524474538686917
